Mapping existing exam sessions (OLD system):
exam     year session code   c   status
medlab    110  第一次  110020 c=308  [醫事檢驗師] 110年第一次專門職業及技術人員高等考試醫師牙醫師
medlab    110  第二次  110100 c=308  [醫事檢驗師] 110年第二次專技高考醫師第一階段考試、牙醫師藥師
medlab    111  第一次  111020 c=308  [醫事檢驗師] 111年第一次專門職業及技術人員高等考試醫師牙醫師
medlab    111  第二次  111100 c=308  [醫事檢驗師] 111年第二次專技高考醫師第一階段考試、牙醫師藥師
medlab    112  第一次  112020 c=308  [醫事檢驗師] ?
medlab    112  第二次  112100 c=308  [醫事檢驗師] 112年第二次專技高考醫師中醫師考試第一階段考試、
medlab    113  第一次  113020 c=308  [醫事檢驗師] 113年第一次專門職業及技術人員高等考試醫師牙醫師
medlab    113  第二次  113090 c=308  [醫事檢驗師] 113年第二次專技高考醫師中醫師考試第一階段考試、
pt        110  第一次  110020 c=311  [物理治療師] 110年第一次專門職業及技術人員高等考試醫師牙醫師
pt        110  第二次  110101 c=311  [物理治療師] 110年第二次專門職業及技術人員高等考試醫師牙醫師
pt        111  第一次  111020 c=311  [物理治療師] 111年第一次專門職業及技術人員高等考試醫師牙醫師
pt        111  第二次  111100 c=311  [物理治療師] 111年第二次專技高考醫師第一階段考試、牙醫師藥師
pt        112  第一次  112020 c=311  [物理治療師] 112年第一次專門職業及技術人員高等考試醫師牙醫師
pt        112  第二次  112100 c=311  [物理治療師] 112年第二次專技高考醫師中醫師考試第一階段考試、
pt        113  第一次  113020 c=311  [?] ?
pt        113  第二次  113090 c=311  [物理治療師] 113年第二次專技高考醫師中醫師考試第一階段考試、
ot        110  第二次  110100 c=312  [職能治療師] 110年第二次專技高考醫師第一階段考試、牙醫師藥師
ot        111  第二次  111100 c=312  [職能治療師] 111年第二次專技高考醫師第一階段考試、牙醫師藥師
ot        112  第二次  112100 c=312  [?] ?
ot        113  第二次  113090 c=312  [職能治療師] 113年第二次專技高考醫師中醫師考試第一階段考試、
doctor1   110  第一次  110020 c=301  [醫師(一)] 110年第一次專門職業及技術人員高等考試醫師牙醫師
doctor1   110  第二次  110101 c=301  [醫師(一)] 110年第二次專門職業及技術人員高等考試醫師牙醫師
doctor1   111  第一次  111020 c=301  [醫師(一)] 111年第一次專門職業及技術人員高等考試醫師牙醫師
doctor1   111  第二次  111100 c=301  [醫師(一)] 111年第二次專技高考醫師第一階段考試、牙醫師藥師
doctor1   112  第一次  112020 c=301  [醫師(一)] ?
doctor1   112  第二次  112100 c=301  [?] ?
doctor1   113  第一次  113020 c=301  [醫師(一)] 113年第一次專門職業及技術人員高等考試醫師牙醫師
doctor1   113  第二次  113090 c=301  [醫師(一)] 113年第二次專技高考醫師中醫師考試第一階段考試、
doctor2   110  第一次  110020 c=302  [醫師(二)] 110年第一次專門職業及技術人員高等考試醫師牙醫師
doctor2   110  第二次  110080 c=302  [醫師(二)] 110年第二次專技高考醫師分階段考試(第二階段考試
doctor2   111  第一次  111020 c=302  [醫師(二)] 111年第一次專門職業及技術人員高等考試醫師牙醫師
doctor2   111  第二次  111080 c=302  [：：] ?
doctor2   112  第一次  112020 c=302  [醫師(二)] 112年第一次專門職業及技術人員高等考試醫師牙醫師
doctor2   112  第二次  112080 c=302  [醫師(二)] 112年第二次專門職業及技術人員高等考試醫師中醫師
doctor2   113  第一次  113020 c=302  [醫師(二)] 113年第一次專門職業及技術人員高等考試醫師牙醫師
dental1   110  第一次  110020 c=303  [牙醫師(一)] 110年第一次專門職業及技術人員高等考試醫師牙醫師
dental1   110  第二次  110101 c=303  [牙醫師(一)] 110年第二次專門職業及技術人員高等考試醫師牙醫師
dental1   111  第一次  111020 c=303  [牙醫師(一)] 111年第一次專門職業及技術人員高等考試醫師牙醫師
dental1   111  第二次  111100 c=303  [牙醫師(一)] 111年第二次專技高考醫師第一階段考試、牙醫師藥師
dental1   112  第一次  112020 c=303  [牙醫師(一)] 112年第一次專門職業及技術人員高等考試醫師牙醫師
dental1   112  第二次  112100 c=303  [牙醫師(一)] 112年第二次專技高考醫師中醫師考試第一階段考試、
dental1   113  第一次  113020 c=303  [牙醫師(一)] 113年第一次專門職業及技術人員高等考試醫師牙醫師
dental1   113  第二次  113090 c=303  [牙醫師(一)] 113年第二次專技高考醫師中醫師考試第一階段考試、
pharma1   110  第一次  110020 c=305  [藥師(一)] 110年第一次專門職業及技術人員高等考試醫師牙醫師
pharma1   110  第二次  110101 c=305  [藥師(一)] 110年第二次專門職業及技術人員高等考試醫師牙醫師
pharma1   111  第一次  111020 c=305  [?] ?
pharma1   111  第二次  111100 c=305  [藥師(一)] 111年第二次專技高考醫師第一階段考試、牙醫師藥師
pharma1   112  第一次  112020 c=305  [藥師(一)] ?
pharma1   112  第二次  112100 c=305  [藥師(一)] 112年第二次專技高考醫師中醫師考試第一階段考試、
pharma1   113  第一次  113020 c=305  [藥師(一)] 113年第一次專門職業及技術人員高等考試醫師牙醫師
pharma1   113  第二次  113090 c=305  [藥師(一)] 113年第二次專技高考醫師中醫師考試第一階段考試、
pharma2   113  第二次  113090 c=306  [藥師(二)] 113年第二次專技高考醫師中醫師考試第一階段考試、
